,Top,Age,f.IIIa_5Me,f.IIIa_6Me,f.IIIa_7Me,f.IIIb_5Me,f.IIIb_6Me,f.IIIb_7Me,f.IIIc_5Me,f.IIIc_6Me,f.IIIc_7Me,f.IIa_5Me,f.IIa_6Me,f.IIa_7Me,f.IIb_5Me,f.IIb_6Me,f.IIb_7Me,f.IIc_5Me,f.IIc_6Me,f.IIc_7Me,f.Ia,f.Ib,f.Ic,f.HbrGDGT,f.HisoGDGT,BIT,GDGT0.Crenar,IIIa.IIa,Ib.Ia,TEX86,MBT,MBTp,MBTp5Me,MBTp6Me,MBTm,CBT,CBT5Me,CBT6Me,Rib,Index1,Index2,IBT,DC,IR6Me,IR.IIap,IR.IIIap,CI,IR7Me,IR6_7Me,IRp6_7Me,pCren,MAAT_MBTp_DJ,MAAT_DJ_5Me,MAAT_soil_Naaf,MAAT_soil5Me_Naaf,MAAT_bog5Me_Naaf,MAAT_Ding,MAAT_Wang,MCQT_Ding,MAAT_Chen_Tjk,MAAT_mr_DJ,MAAT_mrs_DJ,MAAT_mr_Yang,MAAT_mr_Tibet,MAAT_LSun,MAF_MSosa,TsumL_mr_Pears1,TsumL_mr_Pears2,TgrowL_mr_Dang,LST_TEX86,MAAT_NMSDB_mr1,MAAT_NMSDB_mr2,MAAT_NMSDB_mr3,MAAT_NMSDB_mr4,MAAT_NMSDB_mr5,MAAT_NMSDB_mr6,MAAT_NMSDB_mr7,MAAT_NMSDB_mr8,MAAT_NMSDB_mr9,MAP_NMSDB_mr1,MAP_NMSDB_mr2,MAP_NMSDB_mr3,MAP_NMSDB_mr4,MAP_NMSDB_mr5,MAP_NMSDB_mr6,MAP_NMSDB_mr7,MAP_NMSDB_mr8,Tsum_NMSDB_mr1,Tsum_NMSDB_mr2,Tsum_NMSDB_mr3,Tsum_NMSDB_mr4,Tsum_NMSDB_mr5,Tsum_NMSDB_mr6,Tsum_NMSDB_mr7,Tsum_NMSDB_mr8
XRD5,5,56,0.0202020202020202,0.444444444444444,0,0,0.0101010101010101,0,0,0,0,0,0.363636363636364,0,0.0303030303030303,0.0303030303030303,0,0,0,0,0.0808080808080808,0.0202020202020202,0,0,0,0.810810810810811,3.23809523809524,1.27777777777778,0.25,0.727272727272727,0.101010101010101,0.102040816326531,0.666666666666667,0.10752688172043,0.0350877192982456,0.740362689494244,0.204119982655925,0.944482672150169,1.01010101010101,0.291484677757751,-0.516629796003336,-1.60205999132796,0.384615384615385,0.943820224719101,1,0.956521739130435,0.8,0,0.471910112359551,0.471910112359551,0.21,-0.224591143309914,12.3966666666667,11.4233333333333,11.56,11.7366666666667,-2.53461822319156,2.33372164644665,-9.4916303348066,13.9,9.07505050505051,7.02727272727273,20.2484848484848,20.5055555555556,25.283484810992,22.1472222222222,44.630303030303,22.4676767676768,-3.21747474747475,26.1454545454545,1.6040404040404,5.25555555555555,5.7050505050505,5.85353535353535,5.34141414141414,4.96262626262626,4.95151515151515,5.13030303030303,5.47878787878787,220.439393939394,186.429292929293,30.0383838383841,48.9232323232326,84.4080808080808,84.8595959595964,113.035353535354,108.755555555556,18.3020202020202,22.2171717171717,21.8111111111111,21.7606060606061,21.8515151515151,21.1020202020202,21.5383838383838,21.5464646464646
XRD10,10,141,0.0102040816326531,0.469387755102041,0,0,0.0102040816326531,0,0,0,0,0,0.36734693877551,0,0.0204081632653061,0.0306122448979592,0,0,0,0,0.0714285714285714,0.0204081632653061,0,0,0,0.789473684210526,2.66666666666667,1.30555555555556,0.285714285714286,0.769230769230769,0.0918367346938775,0.0927835051546392,0.75,0.0957446808510638,0.0175438596491228,0.78837041556533,0.243038048686294,0.934498451243568,1.03061224489796,0.286943534385376,-0.592916611888093,-1.91381385238372,0.363636363636364,0.966292134831461,1,0.978723404255319,0.875,0,0.48314606741573,0.48314606741573,0.237623762376238,-0.783771596461606,15.0175,14.7575,14.8175,16.085,-2.9361960555572,2.20824985506794,-9.87516970942189,15.5,8.92,6.85928571428571,20.5959183673469,20.6859183673469,28.1993942657431,24.925,45.3612244897959,22.6928571428571,-3.26438775510204,28.4615384615385,1.65,5.58979591836735,6.26428571428572,6.68979591836735,6.2265306122449,5.94795918367347,5.93367346938776,6.16734693877551,6.5030612244898,215.664285714286,180.470408163265,12.158163265306,29.2724489795917,47.8448979591836,37.5306122448978,68.805102040816,62.5081632653058,18.3714285714286,22.6163265306122,22.2102040816327,22.7795918367347,23.1204081632653,22.2826530612245,22.8173469387755,22.8571428571429
XRD20,20,441,0.02,0.44,0,0,0.01,0,0,0,0,0,0.36,0,0.04,0.02,0,0,0,0,0.08,0.03,0,0,0,0.810810810810811,3.28571428571429,1.27777777777778,0.375,0.8,0.11,0.111111111111111,0.647058823529412,0.118279569892473,0.0338983050847458,0.689210167046863,0.0579919469776867,0.944482672150169,1,0.296283560639519,-0.548814479374737,-1.60205999132796,0.466666666666667,0.932584269662921,1,0.956521739130435,0.8,0,0.466292134831461,0.466292134831461,0.21,0.346622797288734,11.78,10.6388235294118,10.7935294117647,10.7135294117647,-2.12723826294793,2.46631478046992,-9.10714135079841,13.5235294117647,9.315,7.0128,20.192,20.5092,24.8203063592363,21.4936274509804,44.658,23.433,-2.9269,30.16,1.608,5.196,5.726,5.6,4.988,4.651,4.647,4.854,5.221,220.028,162.262,7.52800000000001,23.806,70.834,54.962,87.493,84.38,18.308,22.268,21.74,21.422,21.394,20.689,21.137,21.277
XRD25,25,672,0.0101010101010101,0.484848484848485,0,0,0.0101010101010101,0,0,0,0,0,0.383838383838384,0,0,0.0303030303030303,0,0,0,0,0.0707070707070707,0.0101010101010101,0,0,0,0.776859504132231,2.18518518518519,1.28947368421053,0.142857142857143,0.785714285714286,0.0808080808080808,0.0816326530612245,0.888888888888889,0.0824742268041237,0.0178571428571429,1.05115252244738,0.845098040014257,1.05115252244738,1.01010101010101,0.282931773571185,-0.611014833980889,-1.93449845124357,0.125,0.989010989010989,1,0.979591836734694,0.875,0,0.494505494505495,0.494505494505495,0.27,-2.61942255737869,19.3855555555556,20.3144444444444,20.2466666666667,23.3322222222222,-4.11006076832444,2.09740490377184,-10.7669152466345,18.1666666666667,8.64070707070707,6.84636363636364,20.8393939393939,20.6877777777778,32.0370150530629,29.5546296296296,45.3818181818182,21.6838383838384,-3.80666666666667,29.3714285714286,1.65353535353535,5.7969696969697,6.38282828282828,7.3,6.83636363636364,6.57979797979798,6.54949494949495,6.78484848484848,7.12121212121212,215.29696969697,179.249494949495,2.31616161616154,20.771717171717,20.250505050505,12.408080808081,43.3181818181819,36.3858585858587,18.3767676767677,22.7343434343434,22.4575757575758,23.5515151515152,24.0707070707071,23.0727272727273,23.6888888888889,23.730303030303
XRD30,30,918,0.01,0.48,0,0,0,0,0,0,0,0,0.4,0,0.01,0.02,0,0,0,0,0.06,0.01,0.01,0,0,0.766129032258065,1.93103448275862,1.225,0.166666666666667,0.8,0.08,0.08,0.8,0.0816326530612245,0.0175438596491228,1.06069784035361,0.477121254719662,1.18563657696191,1,0.28330122870355,-0.735953570589189,-1.94448267215017,0.25,0.978260869565217,1,0.979591836734694,0.857142857142857,0,0.489130434782609,0.489130434782609,0.29,-2.72415675480498,16.59,16.758,16.772,18.694,-4.16335172199167,2.10761294907907,-10.8118654647426,16.46,8.799,6.6546,20.665,20.6896,28.5869169789022,26.5916666666667,45.611,21.676,-2.0693,30.16,1.706,5.732,6.325,7.084,6.458,6.108,6.09,6.273,6.648,209.846,148.046,-24.706,-43.066,-0.0579999999999892,7.14300000000001,37.012,32.187,18.456,22.656,22.936,23.324,23.572,22.962,23.568,23.643
XRD35,35,1158,0.0297029702970297,0.425742574257426,0,0,0.0099009900990099,0,0,0,0,0.0396039603960396,0.356435643564356,0,0.0198019801980198,0.0297029702970297,0,0,0,0,0.0693069306930693,0.0099009900990099,0.0099009900990099,0,0,0.732283464566929,1.44117647058824,1.15,0.142857142857143,0.823529411764706,0.0891089108910891,0.09,0.5,0.0989010989010989,0.0517241379310345,0.893946607552074,0.564271430438563,1.03140846425162,0.99009900990099,0.236912496052232,-0.443697499232713,-1.05252905127618,0.214285714285714,0.902173913043478,0.9,0.934782608695652,0.5,0,0.451086956521739,0.451086956521739,0.34,-1.46867726482026,7.155,4.755,5.045,3.04,-3.36329313675742,0.825892265923176,-10.180951242196,10.7,7.81950495049505,6.07792079207921,19.6227722772277,20.3341584158416,18.0556566239613,16.5916666666667,42.8930693069307,20.7871287128713,-3.66207920792079,31.4588235294118,1.66039603960396,5.00495049504951,5.16237623762377,5.67920792079208,5.18712871287129,4.54257425742575,4.53267326732674,4.62475247524753,4.97623762376238,214.584158415842,176.880198019802,33.688118811881,20.7930693069305,44.8405940594059,90.003960396039,93.4366336633658,91.7217821782174,18.3871287128713,21.7920792079208,22.0623762376238,21.7940594059406,21.9623762376238,21.0376237623762,21.4950495049505,21.4613861386139
XRD40,40,1393,0.03,0.44,0,0.01,0.01,0,0,0.01,0,0.06,0.31,0,0.02,0.04,0,0,0,0,0.06,0.01,0,0,0,0.708661417322835,1.18918918918919,1.27027027027027,0.166666666666667,0.777777777777778,0.07,0.0721649484536082,0.388888888888889,0.0813953488372093,0.0666666666666667,0.78837041556533,0.602059991327962,0.869231719730976,0.99,0.189537982782928,-0.40205657486687,-0.920818753952375,0.2,0.870967741935484,0.837837837837838,0.936170212765957,0.4,0,0.435483870967742,0.435483870967742,0.373737373737374,-1.42294685419356,3.66055555555555,0.309444444444441,0.701666666666666,-2.75777777777778,-3.50700830045516,-0.483065535707708,-10.5481778726872,8.56666666666666,6.739,5.5284,19.342,20.7176,14.4002553768542,12.887962962963,42.315,20.546,1.7797,28.9333333333333,1.706,5.314,5.331,5.816,5.576,5.157,5.138,4.971,5.295,209.846,193.844,45.782,70.04,96.554,110.36,131.603,150.76,18.456,22.02,21.911,21.248,21.604,21.077,21.258,21.17
XRD45,45,1640,0.04,0.39,0,0,0.01,0,0,0.01,0,0.05,0.33,0,0.03,0.05,0,0,0.01,0,0.06,0.02,0,0,0,0.669230769230769,0.837209302325581,1.13157894736842,0.333333333333333,0.8,0.08,0.0816326530612245,0.4,0.0930232558139535,0.0727272727272727,0.643452676486187,0.342422680822206,0.745966567012242,0.99,0.221848749616356,-0.359021942641668,-0.903089986991944,0.3125,0.869565217391304,0.868421052631579,0.906976744186047,0.4,0,0.434782608695652,0.434782608695652,0.434343434343434,-0.307764430778724,4.01,0.753999999999998,1.136,-2.178,-2.75723551975845,0.409680951899927,-9.93565062062099,8.78,7.284,5.7161,19.241,20.1484,15.6353691804128,13.2583333333333,42.151,21.442,1.0326,30.16,1.706,4.526,4.537,4.843,4.552,4.272,4.252,4.159,4.415,209.846,216.743,98.018,124.934,144.222,180.349,202.488,216.851,18.456,21.349,20.94,20.346,20.464,19.569,19.989,19.893
XRD50,50,1883,0.0404040404040404,0.373737373737374,0,0.0101010101010101,0.0101010101010101,0,0,0.0101010101010101,0,0.0707070707070707,0.292929292929293,0,0.0303030303030303,0.0505050505050505,0,0,0.0101010101010101,0,0.0606060606060606,0.0202020202020202,0.0202020202020202,0,0,0.614814814814815,0.480769230769231,1.13888888888889,0.333333333333333,0.782608695652174,0.101010101010101,0.104166666666667,0.416666666666667,0.121951219512195,0.0862068965517241,0.6232492903979,0.414973347970818,0.698970004336019,1.01010101010101,0.181843587944773,-0.301029995663981,-0.778151250383644,0.277777777777778,0.831460674157303,0.805555555555556,0.902439024390244,0.352941176470588,0,0.415730337078652,0.415730337078652,0.52,0.505343190110571,4.53416666666667,1.42083333333333,1.7875,-1.30833333333334,-2.13994606823688,-0.695661665085935,-9.24569219670428,9.1,7.40232323232323,5.33828282828283,18.9535353535354,20.5338383838384,16.3852500521379,13.8138888888889,41.3484848484849,21.2050505050505,2.05747474747475,29.2,1.7030303030303,4.42727272727273,4.32828282828283,4.6989898989899,4.52323232323232,3.65656565656566,3.66969696969697,3.41414141414141,3.7010101010101,210.154545454545,218.330303030303,108.727272727273,60.8252525252523,92.4383838383838,188.687878787879,165.407070707071,186.279797979798,18.4515151515151,21.0929292929293,21.9757575757576,20.2989898989899,20.5292929292929,19.7656565656566,20.0383838383838,19.840404040404
XRD60,60,2227,0.0707070707070707,0.313131313131313,0,0.0202020202020202,0.0101010101010101,0,0,0,0,0.0707070707070707,0.282828282828283,0,0.0707070707070707,0.0505050505050505,0,0,0,0,0.0707070707070707,0.0303030303030303,0.0101010101010101,0,0,0.62015503875969,0.551020408163265,1.08571428571429,0.428571428571428,0.730769230769231,0.111111111111111,0.114583333333333,0.34375,0.146666666666667,0.155172413793103,0.447158031342219,0.146128035678238,0.640978057358332,1.03030303030303,0.182340208332683,-0.190814515876388,-0.624723975963906,0.416666666666667,0.738636363636364,0.8,0.815789473684211,0.333333333333333,0,0.369318181818182,0.369318181818182,0.480392156862745,1.82669729562295,2.2409375,-1.4965625,-1.0628125,-5.113125,-1.28247812117883,-0.681940043767977,-8.56458742137422,7.7,7.48919191919192,5.51919191919192,17.8383838383838,20.379898989899,14.583763880703,11.3833333333333,39.5161616161616,21.5747474747475,-1.35818181818182,26.3384615384615,1.65353535353535,3.73434343434343,2.89494949494949,2.11919191919192,1.79191919191919,0.653535353535352,0.668686868686868,0.494949494949495,0.855555555555555,215.29696969697,225.510101010101,147.891919191919,140.627272727273,236.274747474747,340.347474747475,323.457575757576,329.525252525253,18.3767676767677,20.2545454545455,20.6171717171717,17.710101010101,17.0070707070707,16.589898989899,16.5,16.1181818181818
